"地方公共団体名","地方公共団体名称","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","アドレスマッチング","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数_小便器","男性トイレ数_和式","男性トイレ数_洋式","女性トイレ総数","女性トイレ数_和式","女性トイレ数_洋式","男女共同トイレ総数","男女共同トイレ数_和式","男女共同トイレ数_洋式","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考","所管課","経度","緯度","分類"
"熊谷市","埼玉県熊谷市","玉井在家第2公園","タマイザイケダイニコウエン","","112020","0002002","埼玉県熊谷市玉井2-24","埼玉県","熊谷市","玉井2","24","","熊谷市玉井2-24","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.337101957484","36.1785480667596","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井在家第3公園","タマイザイケダイサンコウエン","","112020","0002005","埼玉県熊谷市玉井5-71","埼玉県","熊谷市","玉井5","71","","熊谷市玉井5-71","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.33952843818","36.1774138545711","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","広瀬川原公園","ヒロセガワラコウエン","","112020","0030000","埼玉県熊谷市瀬南68","埼玉県","熊谷市","瀬南","68","","熊谷市瀬南68","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.355302970995","36.1454627292982","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","平戸公園","ヒラトコウエン","","112020","0067000","埼玉県熊谷市平戸493","埼玉県","熊谷市","平戸","493","","熊谷市平戸493","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.408904083914","36.1413457006762","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","籠原南第1公園","カゴハラミナミダイイチコウエン","","112020","0041001","埼玉県熊谷市籠原南1-303","埼玉県","熊谷市","籠原南1","303","","熊谷市籠原南1-303","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.327461241723","36.172856759224","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","籠原南第2公園","カゴハラミナミダイニコウエン","","112020","0041001","埼玉県熊谷市籠原南1-56","埼玉県","熊谷市","籠原南1","56","","熊谷市籠原南1-56","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.330845759288","36.1718720017693","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井運動広場","タマイウンドウヒロバ","","112020","0002000","埼玉県熊谷市玉井1886","埼玉県","熊谷市","玉井","1886","","熊谷市玉井1886","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.349053834578","36.1819590032842","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","奈良中央公園","ナラチュウオウコウエン","","112020","0134000","埼玉県熊谷市中奈良899-1","埼玉県","熊谷市","中奈良","899-1","","熊谷市中奈良899-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.377365309982","36.1904380007851","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","吉原公園","ヨシハラコウエン","","112020","0140000","埼玉県熊谷市上之3042-1","埼玉県","熊谷市","上之","3042-1","","熊谷市上之3042-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.411035839151","36.146985325838","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","下増田公園","シモマスダコウエン","","112020","0089000","埼玉県熊谷市下増田882-4","埼玉県","熊谷市","下増田","882-4","","熊谷市下増田882-4","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.339600094368","36.2074103284254","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","下川上農村広場","シモカワカミノウソンヒロバ","","112020","0116000","埼玉県熊谷市下川上509","埼玉県","熊谷市","下川上","509","","熊谷市下川上509","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.430921617784","36.1636680095262","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","大塚農村広場","オオツカノウソンヒロバ","","112020","0065000","埼玉県熊谷市大塚214","埼玉県","熊谷市","大塚","214","","熊谷市大塚214","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.420461812355","36.1683946655337","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","中島農村広場","ナカジマノウソンヒロバ","","112020","0141000","埼玉県熊谷市上中条459-1","埼玉県","熊谷市","上中条","459-1","","熊谷市上中条459-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.416234630037","36.1716281642087","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","今井農村広場","イマイノウソンヒロバ","","112020","0120000","埼玉県熊谷市今井1138","埼玉県","熊谷市","今井","1138","","熊谷市今井1138","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.390764369097","36.1795216401622","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","四方寺農村広場","シホウジノウソンヒロバ","","112020","0060000","埼玉県熊谷市四方寺110-1","埼玉県","熊谷市","四方寺","110-1","","熊谷市四方寺110-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.393636920749","36.1868913412805","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","肥塚中島公園","コイヅカナカジマコウエン","","112020","0028004","埼玉県熊谷市肥塚4-158","埼玉県","熊谷市","肥塚4","158","","熊谷市肥塚4-158","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.385610085299","36.1630140882191","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","肥塚出口公園","コイヅカデグチコウエン","","112020","0028004","埼玉県熊谷市肥塚4-37","埼玉県","熊谷市","肥塚4","37","","熊谷市肥塚4-37","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.388911373043","36.1617375204015","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","上石公園","カミイシコウエン","","112020","0029000","埼玉県熊谷市石原1267","埼玉県","熊谷市","石原","1267","","熊谷市石原1267","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.366334129584","36.1517422507689","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","中西公園","ナカニシコウエン","","112020","0013003","埼玉県熊谷市中西3-2378-1","埼玉県","熊谷市","中西3","2378-1","","熊谷市中西3-2378-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.396152187292","36.1509384650694","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","新堀第2公園","ニイボリダイニコウエン","","112020","0102000","埼玉県熊谷市新堀地内","埼玉県","熊谷市","新堀","","","熊谷市新堀","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.332491614795","36.1760646868583","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","新堀第3公園","ニイボリダイサンコウエン","","112020","0102000","埼玉県熊谷市新堀地内","埼玉県","熊谷市","新堀","","","熊谷市新堀","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.333791565048","36.1781453306923","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","新堀第4公園","ニイボリダイヨンコウエン","","112020","0102000","埼玉県熊谷市新堀地内","埼玉県","熊谷市","新堀","","","熊谷市新堀","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.331261641636","36.1774013256627","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","桜リバーサイドパーク","サクラリバーサイドパーク","","112020","0053000","埼玉県熊谷市相上1812","埼玉県","熊谷市","相上","1812","","熊谷市相上1812","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.419703141586","36.0919825764716","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","荒川公園","アラカワコウエン","","112020","0145002","埼玉県熊谷市河原町2-173","埼玉県","熊谷市","河原町2","173","","熊谷市河原町2-173","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.385420778143","36.1368290497189","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","万平公園","マンペイコウエン","","112020","0146001","埼玉県熊谷市万平町1-1","埼玉県","熊谷市","万平町1","1","","熊谷市万平町1-1","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.390052275651","36.1359327704625","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","外原公園","ソトハラコウエン","","112020","0105000","埼玉県熊谷市拾六間774-2","埼玉県","熊谷市","拾六間","774-2","","熊谷市拾六間774-2","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.312113243726","36.1713675787682","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府第2公園","ベップダイニコウエン","","112020","0021004","埼玉県熊谷市別府4-44","埼玉県","熊谷市","別府4","44","","熊谷市別府4-44","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.339428694289","36.1825942003416","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","みいずが原公園","ミイズガハラコウエン","","112020","0086000","埼玉県熊谷市御稜威ケ原284","埼玉県","熊谷市","御稜威ケ原","284","","熊谷市御稜威ケ原284","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.301102974337","36.1566947180413","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","籠原中央公園","カゴハラチュウオウコウエン","","112020","0041002","埼玉県熊谷市籠原南2-102","埼玉県","熊谷市","籠原南2","102","","熊谷市籠原南2-102","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.327816065471","36.1690856455179","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","船木台中央公園","フナキダイチュウオウコウエン","","112020","0026003","埼玉県熊谷市船木台3-4-1","埼玉県","熊谷市","船木台3","4-1","","熊谷市船木台3-4-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.417983469141","36.0772723859141","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","新堀第1公園","ニイボリダイイチコウエン","","112020","0102000","埼玉県熊谷市新堀598","埼玉県","熊谷市","新堀","598","","熊谷市新堀598","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.333830521774","36.17503023348","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","伊勢町ふれあい公園","イセチョウフレアイコウエン","","112020","0036000","埼玉県熊谷市伊勢町94","埼玉県","熊谷市","伊勢町","94","","熊谷市伊勢町94","公園北西側　公園北東側","","","","","","","","","","","","","","","2","有","無","有","7:30:00","18:30:00","3月から10月は6:30～19:30","","","","公園緑地課","139.372255670263","36.1450757505572","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","かめの道","カメノミチ","","112020","0029000","埼玉県熊谷市石原2019","埼玉県","熊谷市","石原","2019","","熊谷市石原2019","石原公園南西 サンシティ熊谷西側","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.371548302104","36.1479396622404","公衆トイレ一覧"
